fecha,zona,ttk,duracion,fibra,mufas,hilos,bandejas
7/13/2017 7:10,12,6045090,1.95,0,0,0,0
6/8/2017 14:07,10,6003993,1.933,0,0,0,0
7/7/2017 19:34,10,6039108,1.917,0,0,0,0
8/10/2017 11:58,10,6078782,1.883,0,0,0,0
6/6/2017 12:13,11,5999931,1.883,0,1,12,1
6/28/2017 11:00,12,6028679,1.883,0,0,0,0
7/16/2017 21:56,12,6049050,1.817,0,0,0,0
8/16/2017 11:00,12,6084085,1.817,0,0,8,0
8/2/2017 11:30,10,6067774,1.8,75,1,16,1
6/26/2017 16:40,10,6025970,1.7,0,0,4,0
7/10/2017 10:01,11,6041598,1.683,32,2,2,0
6/6/2017 10:23,10,5999959,1.667,0,0,1,0
6/7/2017 14:45,10,6002320,1.583,0,0,1,0
8/6/2017 8:11,10,6072113,1.567,0,0,0,0
7/19/2017 9:26,11,6051331,1.517,0,0,0,0
6/17/2017 20:20,12,6013498,1.5,0,0,0,0
8/16/2017 17:53,12,6084366,1.5,0,0,1,0
8/14/2017 13:54,12,6082404,1.483,0,0,0,0
8/22/2017 12:25,11,6090661,1.467,0,0,0,0
7/11/2017 13:46,10,6042963,1.45,0,0,0,0
6/8/2017 14:13,10,6004082,1.4,0,1,1,0
7/20/2017 10:58,12,6052069,1.383,0,0,0,0
6/28/2017 15:57,10,6028780,1.333,0,0,0,0
7/30/2017 10:15,10,6063905,1.333,0,0,0,0
8/8/2017 9:19,11,6074337,1.333,0,0,0,0
7/3/2017 17:42,12,6034624,1.3,0,0,0,0
7/4/2017 12:30,10,6035292,1.267,0,0,0,0
8/5/2017 14:47,10,6071703,1.25,0,0,0,0
7/3/2017 9:52,10,6033996,1.217,0,0,0,0
7/5/2017 11:25,12,6036291,1.217,0,0,0,0
8/17/2017 8:07,10,6084993,1.167,0,0,8,0
6/8/2017 15:30,12,6004164,1.167,0,0,0,0
6/13/2017 16:06,10,6010306,1.1,0,0,0,0
7/27/2017 12:29,10,6060210,1.1,0,0,0,0
7/20/2017 8:43,10,6052460,1,0,0,0,0
6/6/2017 22:39,12,6001301,0.917,0,0,0,0
8/23/2017 10:45,12,6091622,0.917,0,0,1,0
7/24/2017 7:24,10,6055383,0.883,0,0,0,0
8/14/2017 13:27,11,6082451,0.883,0,0,0,0
6/19/2017 14:15,11,6017442,0.833,0,0,0,0
8/7/2017 17:05,12,6073695,0.817,0,0,0,0
7/6/2017 10:20,11,6037635,0.767,0,0,0,0
7/12/2017 18:09,11,6044570,0.75,0,0,0,0
7/21/2017 5:36,10,6053497,0.717,0,0,0,0
7/14/2017 17:29,10,6047236,0.683,0,0,0,0
7/18/2017 11:19,11,6050623,0.667,0,0,0,0
6/22/2017 21:15,10,6022062,0.65,0,0,0,0
6/21/2017 9:53,10,6019214,0.633,0,0,0,0
6/22/2017 11:30,12,6020964,0.617,0,0,1,0
8/16/2017 18:08,10,6084602,0.567,0,0,0,0
6/22/2017 12:57,10,6021051,0.25,0,0,0,0
7/13/2017 12:56,10,6045561,-0.217,0,0,0,0
7/23/2017 3:34,12,6055016,-4.283,0,0,1,0
